ticker,asset_name,sector,exchange,currency,beta,dividend_yield,trailingpe,pricetobook,fcf_yield,revenuegrowth,earningsgrowth,forwardeps,payoutratio,asset_type,value_score,growth_score,dividend_score
BTC-USD,Bitcoin USD,,CCC,USD,,,,,,,,,,Crypto,,,
ETH-USD,Ethereum USD,,CCC,USD,,,,,,,,,,Crypto,,,
SOL-USD,Solana USD,,CCC,USD,,,,,,,,,,Crypto,,,
LINK-USD,Chainlink USD,,CCC,USD,,,,,,,,,,Crypto,,,
GC=F,Gold Jun 26,,CMX,USD,,,,,,,,,,Commodity,,,
SI=F,Silver May 26,,CMX,USD,,,,,,,,,,Commodity,,,
BZ=F,Brent Crude Oil Last Day Financ,,NYM,USD,,,,,,,,,,Commodity,,,
NG=F,Natural Gas Jun 26,,NYM,USD,,,,,,,,,,Commodity,,,
HG=F,Copper May 26,,CMX,USD,,,,,,,,,,Commodity,,,
ZC=F,"Corn Futures,Jul-2026",,CBT,USX,,,,,,,,,,Commodity,,,
KC=F,Coffee Sep 26,,NYB,USX,,,,,,,,,,Commodity,,,
PA=F,Palladium Jun 26,,NYM,USD,,,,,,,,,,Commodity,,,
TLT,iShares 20+ Year Treasury Bond ,,NGM,USD,,4.49,,0.5752863,,,,,,Bond,,,
IEF,iShares 7-10 Year Treasury Bond,,NGM,USD,,3.82,,0.809121,,,,,,Bond,,,
SHY,iShares 1-3 Year Treasury Bond ,,NGM,USD,,3.75,3738.6365,0.9537117,,,,,,Bond,,,
TIP,iShares TIPS Bond ETF,,PCX,USD,,3.45,12.513327,0.8888511,,,,,,Bond,,,
BNDX,Vanguard Total International Bo,,NGM,USD,,4.46,,,,,,,,Bond,,,
EMB,iShares J.P. Morgan USD Emergin,,NGM,USD,,5.11,,,,,,,,Bond,,,
VTC,Vanguard Total Corporate Bond E,,NGM,USD,,4.87,,,,,,,,Bond,,,
JNK,State Street SPDR Bloomberg Hig,,PCX,USD,,6.68,20.20637,0.88887763,,,,,,Bond,,,
IBGL.L,ISHARES II PLC ISHRS EUR GOVT B,,LSE,GBP,,,,,,,,,,Bond,,,
BTP.MI,,,,,,,,,,,,,,Bond,,,
MUB,iShares National Muni Bond ETF,,PCX,USD,,3.19,,,,,,,,Bond,,,
AAPL,Apple Inc.,Technology,NMS,USD,,0.38,35.896202,47.27909,0.0241350127471068,0.166,0.218,9.39679,0.1304,Equity,-2.6524720033374307,0.3142515410407567,0.007975366692255948
MSFT,Microsoft Corporation,Technology,NMS,USD,1.107,0.89,24.688429,7.883029,0.0120125090527705,0.183,0.234,19.29779,0.20729999,Equity,-1.937929510678103,0.4518739886724479,0.008474861281168079
AMZN,"Amazon.com, Inc.",Consumer Cyclical,NMS,USD,1.383,,32.297005,7.04015,0.0082039416701089,0.136,0.05,9.82506,0.0,Equity,,0.04166941554514711,
JNJ,Johnson & Johnson,Healthcare,NYQ,USD,0.329,2.33,26.51276,6.774566,0.0227419447160491,0.099,-0.529,12.71044,0.6025,Equity,-1.0623165073822611,-0.37357320317370796,0.021063020647386774
JPM,JP Morgan Chase & Co.,Financial Services,NYQ,USD,1.043,1.92,15.041168,2.4474995,,0.127,0.172,23.51063,0.2824,Equity,,-0.003446807014552161,
XOM,Exxon Mobil Corporation,Energy,NYQ,USD,0.288,2.67,22.837313,2.4651597,0.0192293145896523,-0.013,-0.11,10.1679,0.597,Equity,-0.6248652394952974,-1.1687535451665125,0.020690934791611774
PG,Procter & Gamble Company (The),Consumer Defensive,NYQ,USD,0.403,2.9,21.691519,6.428231,0.0368566226420516,0.074,0.058,7.11309,0.618,Equity,-0.08771412055050712,-0.4461387344566437,0.04082976656286476
TSLA,"Tesla, Inc.",Consumer Cyclical,NMS,USD,1.915,,354.3963,17.965015,0.0035548303196062,0.158,0.083,2.53536,0.0,Equity,,0.22238322342390923,
UNH,UnitedHealth Group Incorporated,Healthcare,NYQ,USD,0.408,2.39,27.9161,3.5555575,0.0527307700310711,0.02,0.007,20.75367,0.65989995,Equity,-0.6229301093220706,-0.8833299156076128,0.04286163268261282
BRK-B,Berkshire Hathaway Inc. New,Financial Services,NYQ,USD,0.699,,15.37637,0.0009565077,0.0357703836349948,-0.007,-0.025,21.74998,0.0,Equity,,-1.1033076390025776,
