asset_id,ticker,date,Open,High,Low,Close,Volume,return_3m,return_6m,momentum_score,returns,volatility,low_vol_score
7203.T_1999-05-06,7203.T,1999-05-06,698.0,722.0,690.0,722.0,15575000.0,,,,,,
7203.T_1999-05-07,7203.T,1999-05-07,718.0,720.0,690.0,696.0,15165000.0,,,,-0.0360110803324099,,
7203.T_1999-05-10,7203.T,1999-05-10,696.0,704.0,690.0,694.0,6305000.0,,,,-0.0028735632183908,,
7203.T_1999-05-11,7203.T,1999-05-11,700.0,704.0,688.0,688.0,8430000.0,,,,-0.0086455331412104,,
7203.T_1999-05-12,7203.T,1999-05-12,688.0,700.0,688.0,700.0,12980000.0,,,,0.0174418604651163,,
7203.T_1999-05-13,7203.T,1999-05-13,692.0,692.0,678.0,684.0,7165000.0,,,,-0.0228571428571429,,
7203.T_1999-05-14,7203.T,1999-05-14,686.0,686.0,674.0,676.0,11475000.0,,,,-0.0116959064327485,,
7203.T_1999-05-17,7203.T,1999-05-17,666.0,668.0,654.0,656.0,10900000.0,,,,-0.029585798816568,,
7203.T_1999-05-18,7203.T,1999-05-18,660.0,682.0,654.0,678.0,13680000.0,,,,0.0335365853658535,,
7203.T_1999-05-19,7203.T,1999-05-19,658.0,662.0,630.0,650.0,19680000.0,,,,-0.0412979351032448,,
7203.T_1999-05-20,7203.T,1999-05-20,658.0,672.0,654.0,664.0,9375000.0,,,,0.0215384615384615,,
7203.T_1999-05-21,7203.T,1999-05-21,670.0,674.0,656.0,666.0,11610000.0,,,,0.0030120481927711,,
7203.T_1999-05-24,7203.T,1999-05-24,666.0,666.0,644.0,666.0,9865000.0,,,,0.0,,
7203.T_1999-05-25,7203.T,1999-05-25,656.0,676.0,656.0,676.0,13750000.0,,,,0.015015015015015,,
7203.T_1999-05-26,7203.T,1999-05-26,668.0,674.0,660.0,664.0,7105000.0,,,,-0.0177514792899408,,
7203.T_1999-05-27,7203.T,1999-05-27,668.0,668.0,654.0,664.0,6125000.0,,,,0.0,,
7203.T_1999-05-28,7203.T,1999-05-28,658.0,660.0,648.0,660.0,7785000.0,,,,-0.0060240963855421,,
7203.T_1999-05-31,7203.T,1999-05-31,662.0,668.0,646.0,646.0,9535000.0,,,,-0.0212121212121212,,
7203.T_1999-06-01,7203.T,1999-06-01,652.0,668.0,648.0,668.0,13955000.0,,,,0.0340557275541795,,
7203.T_1999-06-02,7203.T,1999-06-02,678.0,694.0,676.0,688.0,19695000.0,,,,0.0299401197604789,,
7203.T_1999-06-03,7203.T,1999-06-03,700.0,700.0,688.0,688.0,11030000.0,,,,0.0,,
