ticker,dividend_score,growth_score,value_score,low_vol_score,momentum_score
ETH-USD,,,,-0.0300700321656379,-0.0081327541526634
PA=F,,,,-0.0299012187770044,-0.0088226620027574
TLT,,,,-0.0064371485733579,-0.0409045373512227
IEF,,,,-0.0035637939367943,-0.0182218476852059
SHY,,,,-0.001314765803612,-0.0088193024815224
TIP,,,,-0.0023161942192249,0.0028116151012227
BNDX,,,,-0.0029843006185015,-0.0248749321933856
EMB,,,,-0.0048663304996247,-0.0094729896907796
JNK,,,,-0.0034339568336821,-0.0129441093772669
IBGL.L,,,,-0.0074238770821071,-0.039324357306042
MUB,,,,-0.0024060737750731,-0.0068593144368589
AAPL,0.0079753666922559,0.3142515410407567,-2.6524720033374307,-0.0169406286633679,0.0660273604969821
JNJ,0.0210630206473867,-0.3735732031737079,-1.0623165073822611,-0.0102816073345879,0.1158764659372303
JPM,,-0.0034468070145521,,-0.015078871315838,0.022146252702984
BRK-B,,-1.1033076390025776,,-0.0106372797439313,-0.0068665016627585
MC.PA,0.0611504651705855,-1.416781055677053,0.2722247918009288,-0.0182381795412131,-0.2191482497976928
ASML.AS,0.0114430864157637,0.0402824606876635,-2.798878783952344,-0.0267446100374106,0.1775330628778079
NESN.SW,0.0157670426335411,-1.2674539939583689,0.3177584093492269,-0.0150337266334825,0.0312855781346292
BABA,-0.051832148496585,-1.0592630923695716,-3.396777693901816,-0.0224822861061694,-0.245461225368343
RELIANCE.NS,0.0008475638644064,-0.0826029014260954,-2.338941873682523,-0.0161972885930457,0.0089599214333996
