ticker,asset_name,sector,exchange,currency,beta,dividend_yield,trailingpe,pricetobook,fcf_yield,revenuegrowth,earningsgrowth,forwardeps,payoutratio,value_score,rev_z,earn_z,growth_score,dividend_score,asset_type,volatility,max_drawdown,avg_return_1y,avg_return_3y,avg_return_5y,risk_category,investment_style
BTC-USD,Bitcoin USD,,CCC,USD,,,,,,,,,,,,,,,Crypto,0.5565785386838883,-0.8339900882218974,,,,High,Growth
ETH-USD,Ethereum USD,,CCC,USD,,,,,,,,,,,,,,,Crypto,0.7116141406673073,-0.9396254038538314,,,,High,Growth
SOL-USD,Solana USD,,CCC,USD,,,,,,,,,,,,,,,Crypto,1.0065020882298195,-0.9627249768997591,,,,High,Growth
LINK-USD,Chainlink USD,,CCC,USD,,,,,,,,,,,,,,,Crypto,0.9915396690542847,-0.9019294299917967,,,,High,Growth
GC=F,Gold Jun 26,,CMX,USD,,,,,,,,,,,,,,,Commodity,0.17778174187957302,-0.44363844125895235,,,,Medium,Growth
SI=F,Silver May 26,,CMX,USD,,,,,,,,,,,,,,,Commodity,0.3287635804400655,-0.7584595804147046,,,,High,Growth
BZ=F,Brent Crude Oil Last Day Financ,,NYM,USD,,,,,,,,,,,,,,,Commodity,0.3788622530162762,-0.8676752486212199,,,,High,Growth
NG=F,Natural Gas May 26,,NYM,USD,,,,,,,,,,,,,,,Commodity,0.6147626961326559,-0.9036285623406435,,,,High,Growth
HG=F,Copper May 26,,CMX,USD,,,,,,,,,,,,,,,Commodity,0.2724790887157369,-0.6940527324027203,,,,High,Growth
ZC=F,"Corn Futures,May-2026",,CBT,USX,,,,,,,,,,,,,,,Commodity,0.2819445063680509,-0.6372932330827068,,,,High,Growth
KC=F,Coffee Sep 26,,NYB,USX,,,,,,,,,,,,,,,Commodity,0.34309316233327125,-0.7158084510972565,,,,High,Growth
PA=F,Palladium Jun 26,,NYM,USD,,,,,,,,,,,,,,,Commodity,0.3955256897638108,-0.8628555658445748,,,,High,Growth
TLT,iShares 20+ Year Treasury Bond ,,NGM,USD,,4.49,,0.58328015,,,,,,,,,,,Bond,0.14374547002871926,-0.5175730424336082,,,,Medium,Defensive
IEF,iShares 7-10 Year Treasury Bond,,NGM,USD,,3.82,,0.8158214,,,,,,,,,,,Bond,0.06881641962546402,-0.27718187296493685,,,,Low,Defensive
SHY,iShares 1-3 Year Treasury Bond ,,NGM,USD,,3.75,3750.4546,0.9567265,,,,,,,,,,,Bond,0.01642539474545521,-0.07246544578779208,,,,Low,Defensive
TIP,iShares TIPS Bond ETF,,PCX,USD,,3.45,12.520226,0.8893412,,,,,,,,,,,Bond,0.0628593628146282,-0.21962400832738546,,,,Low,Defensive
BNDX,Vanguard Total International Bo,,NGM,USD,,4.46,,,,,,,,,,,,,Bond,,,,,,High,Defensive
EMB,iShares J.P. Morgan USD Emergin,,NGM,USD,,5.11,,,,,,,,,,,,,Bond,0.10868061657061846,-0.37406630362412335,,,,Medium,Defensive
VTC,Vanguard Total Corporate Bond E,,NGM,USD,,4.87,,,,,,,,,,,,,Bond,0.07781711550458939,-0.25644822967800646,,,,Low,Defensive
JNK,State Street SPDR Bloomberg Hig,,PCX,USD,,6.68,20.28284,0.8922416,,,,,,,,,,,Bond,0.11694893884221126,-0.4621306215062366,,,,Medium,Defensive
IBGL.L,ISHARES II PLC ISHRS EUR GOVT B,,LSE,GBP,,,,,,,,,,,,,,,Bond,0.1563854276901945,-0.48339568076720957,,,,Medium,Defensive
BTP.MI,,,,,,,,,,,,,,,,,,,Bond,,,,,,High,Defensive
MUB,iShares National Muni Bond ETF,,PCX,USD,,3.19,,,,,,,,,,,,,Bond,0.05422370240141161,-0.14388672943375574,,,,Low,Defensive
AAPL,Apple Inc.,Technology,NMS,USD,1.109,0.39,33.68268,44.419804,0.027148523439820493,0.157,0.183,9.31084,0.1304,0.4693498535715678,0.6179039787946644,-0.18865363236703625,0.42925034642762816,0.009207258833474482,Equity,0.4379238485239313,-0.8221656792419105,,,,High,Income
MSFT,Microsoft Corporation,Technology,NMS,USD,1.107,0.89,25.70125,7.815642,0.01755059451389615,0.167,0.598,18.90413,0.21280001,1.0744077500752915,0.6986561928675392,-0.10242247532050905,0.5962337175470301,0.012296086764991462,Equity,0.3322549115116019,-0.7456453369396806,,,,High,Income
AMZN,"Amazon.com, Inc.",Consumer Cyclical,NMS,USD,1.383,,34.610027,6.4872346,0.008903175139391106,0.136,0.05,9.39763,0.0,,0.4483243292416273,-0.21628915980604377,0.23203516943558353,,Equity,0.5516696768742421,-0.9440421779932859,,,,High,Growth
JNJ,Johnson & Johnson,Healthcare,NYQ,USD,0.329,2.25,21.63826,7.047689,,0.099,-0.529,12.67688,0.466,,0.1495411371719904,-0.33659720782999375,-0.18705607065800334,,Equity,0.2277753770402966,-0.5260168287274308,,,,Medium,Income
JPM,JP Morgan Chase & Co.,Financial Services,NYQ,USD,1.043,1.96,14.637799,2.3830035,,0.127,0.172,23.61438,0.2824,,0.3756473365760399,-0.19093927749357073,0.18470805908246915,,Equity,0.35061420100365126,-0.8167420941008766,,,,High,Income
XOM,Exxon Mobil Corporation,Energy,NYQ,USD,0.288,2.76,22.207153,2.4007154,0.019745502678127684,-0.013,-0.11,9.95255,0.597,3.241318540849076,-0.7548836604442076,-0.24953490710109041,-1.0044185675452981,0.02196252771882786,Equity,0.23131045500950048,-0.6986970531663852,,,,Medium,Income
PG,Procter & Gamble Company (The),Consumer Defensive,NYQ,USD,0.403,2.97,21.241482,6.374428,0.039557490927549004,0.015,-0.054,7.2622,0.6188,3.213512006360031,-0.5287774610401582,-0.2378988955478241,-0.7666763565879823,0.04478556715849759,Equity,0.21299981450006192,-0.5445859872611465,,,,Medium,Income
TSLA,"Tesla, Inc.",Consumer Cyclical,NMS,USD,1.915,,356.31818,17.899714,0.0025378786203601946,-0.031,-0.606,2.7718,0.0,,-0.9002376457753823,-0.3525967237157349,-1.2528343694911173,,Equity,0.5750330110169779,-0.736322174421912,,,,High,Growth
UNH,UnitedHealth Group Incorporated,Healthcare,NYQ,USD,0.408,2.81,23.755672,3.0233743,0.0486334974134421,0.123,-0.999,20.1366,0.65989995,3.2314849752712242,0.3433464509468899,-0.4342565905091933,-0.09091013956230337,0.04647811627458214,Equity,0.3981079067531934,-0.8267707305568278,,,,High,Income
BRK-B,Berkshire Hathaway Inc. New,Financial Services,NYQ,USD,0.699,,15.2685995,0.0009507222,0.035988058846025246,-0.007,-0.025,21.75195,0.0,,-0.7064323320004828,-0.23187310385059687,-0.9383054358510797,,Equity,0.22191012055073622,-0.5386158334199325,,,,Medium,Growth
SAN.MC,BANCO SANTANDER S.A.,Financial Services,MCE,EUR,0.962,2.35,12.683334,1.5157207,,-0.064,0.253,1.18652,0.2691,,-1.1667199522158693,-0.17410861792545335,-1.3408285701413227,,Equity,0.34911799322249376,-0.8864986486599652,,,,High,Income
ITX.MC,INDUSTRIA DE DISE...O TEXTIL S.,Consumer Cyclical,MCE,EUR,0.946,1.23,26.61,8.127673,0.03222503004397555,0.043,0.133,2.39256,0.565,1.4228413332195824,-0.3026712616361087,-0.19904292839673832,-0.501714190032847,0.017242002325029118,Equity,0.2806378631581387,-0.555117362837003,,,,High,Income
IBE.MC,ACCIONES IBERDROLA,Utilities,MCE,EUR,0.604,3.33,23.553572,2.6067193,-0.01285863078589518,0.005,5.598,1.06045,0.7592,3.743221742043017,-0.6095296751130329,0.9365071276496982,0.3269774525366653,-0.010310873116501054,Equity,0.24490452855274153,-0.7769747790801353,,,,Medium,Income
MC.PA,LVMH,Consumer Cyclical,PAR,EUR,0.895,2.7,22.218664,3.5732942,0.04856747601136227,-0.047,-0.014,26.17998,0.595,3.073428493650856,-1.029441188291982,-0.22958745872406242,-1.2590286470160446,0.05310853501842465,Equity,0.30523755808522085,-0.7056994858183392,,,,High,Income
SAP.DE,SAP SE                        I,Technology,GER,EUR,0.762,1.71,24.567213,3.9243722,0.048460338184566736,0.033,0.05,8.51917,0.3852,2.0539828239870164,-0.38342347570898344,-0.21628915980604377,-0.5997126355150272,0.050946741216140484,Equity,0.3643466343631887,-0.8538417024670847,,,,High,Income
ASML.AS,ASML HOLDING,Technology,AMS,EUR,1.382,0.88,48.648857,24.694414,0.016900740286861032,0.132,0.192,40.16089,0.2568,0.9579511958647303,0.41602344361247734,-0.1867835590816899,0.22923988453078745,0.011053354559451705,Equity,0.5971615654958802,-0.8998713839072937,,,,High,Income
SIE.DE,SIEMENS AG                    N,Industrials,GER,EUR,1.185,2.25,23.73008,2.8384044,0.042606597566485195,0.043,-0.446,12.76706,0.5179,2.6870578206814457,-0.3026712616361087,-0.3193509764206883,-0.622022238056797,0.04621644154530565,Equity,0.3672397098120819,-0.8326458108214233,,,,High,Income
NESN.SW,NESTLE N,Consumer Defensive,EBS,CHF,0.516,3.95,22.207977,6.1113286,0.031113384640376485,-0.022,-0.24,4.64782,0.8689,4.189772789893096,-0.827560653109795,-0.2765470767783158,-1.1041077298881108,0.01611191066909576,Equity,0.18492792412255182,-0.4517374517374517,,,,Medium,Income
AZN.L,ASTRAZENECA PLC ORD SHS $0.25,Healthcare,LSE,GBp,0.275,1.6,30.611229,6.369326,0.03444518767705052,0.041,0.539,8.589802,0.4791,1.824115421920978,-0.3188217044506836,-0.11468184463555749,-0.43350354908624106,0.028707997217560986,Equity,0.2540302675158382,-0.5176600441501104,,,,High,Income
HSBA.L,HSBC HOLDINGS PLC ORD $0.50 (UK,Financial Services,LSE,GBp,0.555,4.18,15.238636,1.7074571,,0.584,23.979,1.3152331,0.5345,,4.066023519706419,4.755820134088775,8.821843653795193,,Equity,0.2802862865771822,-0.7022407086486754,,,,High,Income
2330.TW,TAIWAN SEMICONDUCTOR MANUFACTUR,Technology,TAI,TWD,1.251,1.15,31.424267,9.976649,0.011900453212860814,0.205,0.35,113.31706,0.2868,1.2939570499626587,1.0055146063444633,-0.15395338362783134,0.851561222716632,0.009760513716124183,Equity,0.31280677705764137,-0.6795674501450881,,,,High,Income
7203.T,TOYOTA MOTOR CORP,Consumer Cyclical,JPX,JPY,0.357,2.81,11.943662,1.1343067,-0.0011792810949849174,0.086,-0.423,324.22,0.3343,3.7741429138497344,0.04456325887725304,-0.31457190024702536,-0.2700086413697723,-0.0022059832640574013,Equity,0.29635633087010754,-0.7151079063507007,,,,High,Income
BABA,Alibaba Group Holding Limited,Consumer Cyclical,NYQ,USD,0.489,0.79,23.547703,2.0516303,-0.08193872409743726,0.017,-0.709,7.510266,0.19450001,1.2379455135863835,-0.5126270182255832,-0.37399867353692123,-0.8866256917625044,-0.052141296738467784,Equity,0.4219546635550481,-0.8008765888597085,,,,High,Income
TCEHY,Tencent Holding Ltd.,Communication Services,PNK,USD,0.8,0.89,18.201134,3.4762862,0.23988715361977794,0.127,0.141,5.0402703,0.1708,1.472492096774597,0.3756473365760399,-0.197380641031986,0.1782666955440539,0.17703384072555267,Equity,0.37209602668329483,-0.7408678032232076,,,,High,Income
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy,NSI,INR,0.22,0.41,21.863909,2.0723014,,0.104,0.006,65.37173,0.08939999,,0.18991724420842773,-0.22543174031218158,-0.035514496103753845,,Equity,0.7437336061830322,-0.7758978900705155,,,,High,Income
VALE,VALE S.A.,Basic Materials,NYQ,USD,0.889,7.14,32.036366,2.1204908,0.20556330850403207,0.005,,2.1961,2.1235,7.848366771065341,-0.6095296751130329,,,-1.6489856925245592,Equity,0.46045096006395225,-0.9510362080883918,,,,High,Income
BHP,BHP Group Limited,Basic Materials,NYQ,USD,0.798,3.35,19.719603,4.0019135,0.040306496742535135,0.108,0.275,5.21644,0.5464,3.6908979202291436,0.22221812983757772,-0.16953732767238444,0.052680802165193275,0.06124814019008669,Equity,0.333799718229087,-0.8008774872074673,,,,High,Income
